Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,330,167,598","1,320,670,391","1,379,888,268","1,531,843,575","1,665,363,128","1,722,798,883","1,873,452,514","1,920,262,570","1,941,094,972","2,021,301,676","2,228,279,330","2,331,005,587","2,421,474,860","2,623,726,257","2,791,960,894","2,498,932,961","2,467,703,911","2,584,463,687",,,,,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,"78,617,623","89,406,588","113,414,399","150,841,574","186,557,164","220,112,880","227,284,062","253,998,001","308,020,289","411,548,366","446,377,572","388,982,991","375,914,807","327,849,982","330,073,057","346,742,876","481,996,191","611,300,147","721,425,972","795,489,464","1,028,989,394","1,106,891,025","1,209,992,650","1,007,090,915","1,017,544,675","1,178,745,314","1,224,023,416","1,180,646,068","1,211,953,954","1,239,840,270","1,401,694,156","1,484,004,617","1,717,563,533","2,373,836,214","2,916,913,449","3,248,134,607","3,536,451,646","4,010,785,102","4,001,349,340","3,649,863,493","3,346,317,329","3,427,235,709","3,146,177,741","3,249,100,667",,,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,"537,777,812","548,888,895","546,666,678","751,111,191","800,000,046","1,006,666,638","1,399,999,966","1,673,333,419","1,373,333,367","1,408,888,923","1,748,886,596","1,831,108,972","1,595,555,476","1,733,333,265","2,155,555,499","2,366,666,615","2,555,555,567","2,953,333,419","3,300,000,108","3,697,940,345","3,641,723,447","3,478,787,910",,,,,,,,,,,,,,,,,,,,"2,461,666,315","4,128,818,042","4,583,648,922","5,285,461,999","6,275,076,016","7,057,598,407","9,843,842,455","10,190,529,882","12,486,943,506","15,936,800,636","17,930,239,400","20,536,542,737","20,046,334,304","20,050,189,882","19,199,437,989",
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,"6,684,491,979","6,684,491,979","6,684,491,979","6,684,491,979","10,026,737,968","10,027,408,249","14,519,495,448","10,341,398,740","10,112,148,362","10,420,902,294","4,967,585,282","7,526,963,964","7,649,716,157","6,445,427,699","6,152,936,539","9,129,634,978","8,936,063,723","12,497,346,670","14,188,949,191","19,640,848,729","28,233,712,831","41,789,478,661","60,448,921,272","84,178,032,716","75,492,384,801","82,470,913,121","104,116,000,000","115,398,000,000","124,912,000,000","126,775,000,000","102,643,000,000",
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,"1,924,242,453","1,965,384,586","2,173,750,013","2,156,624,900","2,126,000,000","2,335,124,988","2,101,624,963","1,139,166,646","709,452,584","1,228,071,038","1,985,673,798","2,424,499,009","3,314,898,291","2,359,903,108","2,707,123,772","3,414,760,915","3,632,043,908","4,060,758,804","4,435,078,648","5,746,945,913","7,314,865,176","8,158,548,717","8,992,642,349","10,701,011,897","12,881,352,688","12,044,212,904","11,926,953,259","12,890,867,539","12,319,784,787","12,781,029,644","13,277,963,807","11,455,595,709",
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,"25,525,963,540","28,175,766,605","31,091,490,933","36,107,209,879","42,969,314,677","54,590,148,349","104,602,000,000","115,669,000,000","144,015,000,000","166,279,000,000","183,842,000,000","248,052,000,000","338,154,000,000","348,064,000,000","324,199,000,000","304,018,000,000","308,080,000,000","303,808,000,000","289,061,000,000","312,925,000,000","307,456,000,000","322,191,000,000","446,018,000,000","438,880,000,000","470,375,000,000","475,692,000,000","486,672,000,000","522,868,000,000","577,308,000,000","612,304,000,000","590,514,000,000","643,135,000,000","733,948,000,000","722,151,000,000","727,994,000,000","821,870,000,000","963,918,000,000","1,184,730,000,000","1,404,190,000,000","1,641,670,000,000","2,081,340,000,000","1,798,880,000,000","2,103,820,000,000","2,497,940,000,000","2,773,270,000,000","2,846,990,000,000","2,873,600,000,000","2,530,100,000,000",
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,"14,720,672,892","19,213,022,856","24,871,774,866","23,775,831,263","31,225,462,774","43,598,747,467","49,333,424,084","46,622,718,557","42,803,323,301","41,807,954,192","40,603,650,189","33,943,612,060","36,384,908,706","36,275,674,166","41,464,995,871","50,701,443,696","51,552,165,622","54,239,171,888","55,625,170,253","59,305,093,980","65,743,666,576","73,571,233,996","78,839,008,445","75,674,336,283","84,445,473,111","104,337,000,000","103,312,000,000","109,816,000,000","124,346,000,000","147,824,000,000","180,617,000,000","222,106,000,000","257,916,000,000","315,475,000,000","253,547,000,000","286,049,000,000","348,526,000,000","373,430,000,000","387,192,000,000","399,451,000,000","370,293,000,000",
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,"24,450,605,472","18,272,123,537","25,605,249,377","28,344,706,576","28,630,475,205","24,256,666,500","26,436,856,814","31,256,284,031","31,584,209,518","33,293,199,540","34,733,000,398","52,544,000,413","72,436,777,751","52,438,648,327","51,169,499,979","56,781,000,097","58,082,870,162","69,252,328,959","76,961,923,741","78,676,842,368","84,307,486,838","103,979,000,000","79,092,001,998","88,416,668,900","110,934,000,000","111,106,000,000","126,207,000,000","76,636,898,036","141,352,000,000","189,720,000,000","228,789,000,000","236,742,000,000","257,440,000,000","258,032,000,000","272,150,000,000","292,859,000,000","298,948,000,000","283,523,000,000","284,204,000,000","268,697,000,000","97,724,004,252","127,587,000,000","164,658,000,000","199,496,000,000","233,582,000,000","288,833,000,000","363,137,000,000","334,490,000,000","425,916,000,000","533,200,000,000","548,935,000,000","554,155,000,000","529,726,000,000","583,169,000,000",
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,256,838,858","2,068,526,522","1,272,577,522","1,201,313,196","1,315,158,670","1,468,317,350","1,596,968,913","1,639,492,424","1,893,726,437","1,845,482,181","1,911,563,665","2,118,467,913","2,376,335,048","2,807,061,009","3,576,615,240","4,900,469,515","6,384,451,606","9,206,301,700","11,662,040,714","8,647,936,748","9,260,284,938","10,142,111,334","10,619,320,049","11,121,465,767","11,644,438,423","10,561,401,185",
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
